id,no_jobs,no_machines,objective,type,pt_sd,mean_sd_per_machine,mean_sd_per_job,mean_skew_per_machine,mean_skew_per_job,mean_kurt_per_machine,mean_kurt_per_job
147,200,20,FLOWTIME,NOWAIT,28.470428916275246,28.30705179607243,28.46166900786397,0.0032013961480226597,0.002407058028978788,0.058938817192530385,-0.6114902388504122
149,200,20,FLOWTIME,PERM,28.470428916275246,28.30705179607243,28.46166900786397,0.0032013961480226597,0.002407058028978788,0.1601463557761324,-0.5354760244541122
152,200,20,MAKESPAN,NOIDLE,28.470428916275246,28.30705179607243,28.46166900786397,0.0032013961480226597,0.002407058028978788,-0.7681996182506099,0.03867467424260699
153,200,20,MAKESPAN,NOWAIT,28.470428916275246,28.30705179607243,28.46166900786397,0.0032013961480226597,0.002407058028978788,-0.8490853473594123,-0.02757875530560315
154,200,20,MAKESPAN,NOWAIT,28.470428916275246,28.30705179607243,28.46166900786397,0.0032013961480226597,0.002407058028978788,-0.20159872666113923,-0.9095781357470427
155,200,20,MAKESPAN,PERM,28.470428916275246,28.30705179607243,28.46166900786397,0.0032013961480226597,0.002407058028978788,-0.6517452410651836,-0.49711410048500604
156,200,20,MAKESPAN,PERM,28.470428916275246,28.30705179607243,28.46166900786397,0.0032013961480226597,0.002407058028978788,-0.3162664347078918,0.12007307440562105
157,50,20,FLOWTIME,NOIDLE,28.061281261093114,28.29673011708443,8.268077432102974,0.0707097930511598,0.0010500326101101486,-0.5734490622128239,-0.17581466901749424
158,50,20,FLOWTIME,NOIDLE,28.061281261093114,28.29673011708443,8.268077432102974,0.0707097930511598,0.0010500326101101486,-0.42571309703359106,-0.39307285446282686
159,50,20,FLOWTIME,NOWAIT,28.061281261093114,28.29673011708443,8.268077432102974,0.0707097930511598,0.0010500326101101486,0.5271491030326455,-0.07349640879236898
161,50,20,FLOWTIME,PERM,28.061281261093114,28.29673011708443,8.268077432102974,0.0707097930511598,0.0010500326101101486,-1.131819803721047,-0.04033033886804498
164,50,20,MAKESPAN,NOIDLE,28.061281261093114,28.29673011708443,8.268077432102974,0.0707097930511598,0.0010500326101101486,-0.866364793272877,-0.39052442075988975
166,50,20,MAKESPAN,NOWAIT,28.061281261093114,28.29673011708443,8.268077432102974,0.0707097930511598,0.0010500326101101486,-1.090886620428689,-0.3118389994180486
167,50,20,MAKESPAN,PERM,28.061281261093114,28.29673011708443,8.268077432102974,0.0707097930511598,0.0010500326101101486,-0.41564445213351414,-0.41999248297506314
168,50,20,MAKESPAN,PERM,28.061281261093114,28.29673011708443,8.268077432102974,0.0707097930511598,0.0010500326101101486,-0.18778662338940094,-0.10457433238058665
171,100,20,FLOWTIME,NOWAIT,28.28761512477903,28.405620104509502,8.280670451453348,-0.04275558701398055,-0.016289334890982415,-0.7130146502866574,-0.09656171206348944
172,100,20,FLOWTIME,NOWAIT,28.28761512477903,28.405620104509502,8.280670451453348,-0.04275558701398055,-0.016289334890982415,0.3133101809184504,-0.23616207989518356
173,100,20,FLOWTIME,PERM,28.28761512477903,28.405620104509502,8.280670451453348,-0.04275558701398055,-0.016289334890982415,-0.8848836061565308,-0.1779582687377427
174,100,20,FLOWTIME,PERM,28.28761512477903,28.405620104509502,8.280670451453348,-0.04275558701398055,-0.016289334890982415,-0.5019152558326712,0.22918577236321008
175,100,20,MAKESPAN,NOIDLE,28.28761512477903,28.405620104509502,8.280670451453348,-0.04275558701398055,-0.016289334890982415,-0.5092816360380581,-0.36655134698433023
176,100,20,MAKESPAN,NOIDLE,28.28761512477903,28.405620104509502,8.280670451453348,-0.04275558701398055,-0.016289334890982415,-0.02017278563952801,0.42614538375865263
177,100,20,MAKESPAN,NOWAIT,28.28761512477903,28.405620104509502,8.280670451453348,-0.04275558701398055,-0.016289334890982415,-0.8418881858811138,-1.4152090307233463
178,100,20,MAKESPAN,NOWAIT,28.28761512477903,28.405620104509502,8.280670451453348,-0.04275558701398055,-0.016289334890982415,0.19027962707145268,-0.4661150781479883
179,100,20,MAKESPAN,PERM,28.28761512477903,28.405620104509502,8.280670451453348,-0.04275558701398055,-0.016289334890982415,-0.6354127394317487,-0.6045002955048628
180,100,20,MAKESPAN,PERM,28.28761512477903,28.405620104509502,8.280670451453348,-0.04275558701398055,-0.016289334890982415,-0.8936852266282592,-0.06411379679249557
181,100,40,FLOWTIME,NOIDLE,27.526869488647353,27.63988141017464,8.590372663928587,0.02533981664426021,0.00939254739219441,-0.5528067703906671,-0.711504415549322
182,100,40,FLOWTIME,NOIDLE,27.526869488647353,27.63988141017464,8.590372663928587,0.02533981664426021,0.00939254739219441,-0.5414089309403921,-1.0976406833519736
183,100,40,FLOWTIME,NOWAIT,27.526869488647353,27.63988141017464,8.590372663928587,0.02533981664426021,0.00939254739219441,-0.12964509562331908,-0.4689224025441255
184,100,40,FLOWTIME,NOWAIT,27.526869488647353,27.63988141017464,8.590372663928587,0.02533981664426021,0.00939254739219441,-1.2637701909582422,-0.06377274742683937
185,100,40,FLOWTIME,PERM,27.526869488647353,27.63988141017464,8.590372663928587,0.02533981664426021,0.00939254739219441,-0.42913263516230465,-0.11337223682909522
186,100,40,FLOWTIME,PERM,27.526869488647353,27.63988141017464,8.590372663928587,0.02533981664426021,0.00939254739219441,-0.49678801968802405,-0.4682138321397717
187,100,40,MAKESPAN,NOIDLE,27.526869488647353,27.63988141017464,8.590372663928587,0.02533981664426021,0.00939254739219441,-0.5234763947780324,-0.4792756698964533
189,100,40,MAKESPAN,NOWAIT,27.526869488647353,27.63988141017464,8.590372663928587,0.02533981664426021,0.00939254739219441,-0.872814358292045,-0.6555617753635887
190,100,40,MAKESPAN,NOWAIT,27.526869488647353,27.63988141017464,8.590372663928587,0.02533981664426021,0.00939254739219441,-0.5647365694932013,-0.2395293437360952
191,100,40,MAKESPAN,PERM,27.526869488647353,27.63988141017464,8.590372663928587,0.02533981664426021,0.00939254739219441,-0.12192150045231585,-0.3305245511696516
193,200,20,FLOWTIME,NOIDLE,28.445948986619165,28.50226740104901,8.306433854004311,0.031177736062476046,0.008748662858524974,-0.1960255541023567,-1.0851358462593197
194,200,20,FLOWTIME,NOIDLE,28.445948986619165,28.50226740104901,8.306433854004311,0.031177736062476046,0.008748662858524974,0.4590006879483824,0.2677715914329952
195,200,20,FLOWTIME,NOWAIT,28.445948986619165,28.50226740104901,8.306433854004311,0.031177736062476046,0.008748662858524974,-0.495705583680631,-0.9478138479759401
197,200,20,FLOWTIME,PERM,28.445948986619165,28.50226740104901,8.306433854004311,0.031177736062476046,0.008748662858524974,-1.3026596489427136,-0.4846022145555472
198,200,20,FLOWTIME,PERM,28.445948986619165,28.50226740104901,8.306433854004311,0.031177736062476046,0.008748662858524974,0.14630445421869917,0.18662873795390503
200,200,20,MAKESPAN,NOIDLE,28.445948986619165,28.50226740104901,8.306433854004311,0.031177736062476046,0.008748662858524974,0.38213010137518433,-1.3172936697427757
201,200,20,MAKESPAN,NOWAIT,28.445948986619165,28.50226740104901,8.306433854004311,0.031177736062476046,0.008748662858524974,-0.48119476443710946,-0.6612177441701458
202,200,20,MAKESPAN,NOWAIT,28.445948986619165,28.50226740104901,8.306433854004311,0.031177736062476046,0.008748662858524974,-0.055814884734935295,-0.16872683444491282
204,200,20,MAKESPAN,PERM,28.445948986619165,28.50226740104901,8.306433854004311,0.031177736062476046,0.008748662858524974,-0.08796773543817625,-0.4440894932606925
205,200,40,FLOWTIME,NOIDLE,28.774233948621838,28.834734328138296,8.30003432789268,0.02127907694637394,0.02148677879212873,-0.6043755530720297,-0.06204812261815361
206,200,40,FLOWTIME,NOIDLE,28.774233948621838,28.834734328138296,8.30003432789268,0.02127907694637394,0.02148677879212873,0.16384392747351686,-0.4940496089423855
207,200,40,FLOWTIME,NOWAIT,28.774233948621838,28.834734328138296,8.30003432789268,0.02127907694637394,0.02148677879212873,-1.1596296628854517,-0.22923710316960355
208,200,40,FLOWTIME,NOWAIT,28.774233948621838,28.834734328138296,8.30003432789268,0.02127907694637394,0.02148677879212873,-1.044532175705894,0.06550504423264046
209,200,40,FLOWTIME,PERM,28.774233948621838,28.834734328138296,8.30003432789268,0.02127907694637394,0.02148677879212873,0.11461913863860115,-0.5116589404884672
213,200,40,MAKESPAN,NOWAIT,28.774233948621838,28.834734328138296,8.30003432789268,0.02127907694637394,0.02148677879212873,-0.0550004844956018,0.06303288416295437
